scaffold3102,47608,47608,-1,0.0,12
scaffold3102,114704,114704,-1,0.0,13
scaffold3102,47772,47772,1,0.0,11
scaffold3102,90480,90480,1,0.0,21
scaffold3102,108149,108149,-1,0.0,5
scaffold3102,47781,47781,1,0.0,7
scaffold3102,47711,47711,-1,0.0,7
scaffold3102,47905,47905,-1,0.0,5
scaffold3102,3613,3613,-1,0.125,8
scaffold3102,89235,89235,1,0.0,20
scaffold3102,47702,47702,-1,0.0,8
scaffold3102,47531,47531,1,0.0,33
scaffold3102,47794,47794,1,0.0,7
scaffold3102,19184,19184,1,0.0,5
scaffold3102,47552,47552,-1,0.0,17
scaffold3102,110496,110496,-1,0.0,13
scaffold3102,47708,47708,-1,0.0,6
scaffold3102,110479,110479,-1,0.0,45
scaffold3102,52453,52453,1,0.6,5
scaffold3102,110471,110471,1,0.04,25
scaffold3102,47730,47730,1,0.1,10
scaffold3102,67500,67500,-1,0.0,13
scaffold3102,47564,47564,-1,0.0,15
scaffold3102,108147,108147,1,0.0,5
scaffold3102,47907,47907,1,0.0,13
scaffold3102,108144,108144,-1,0.0,5
scaffold3102,90447,90447,1,0.0,21
scaffold3102,110494,110494,1,0.0,13
scaffold3102,89229,89229,1,0.0,21
scaffold3102,47550,47550,1,0.0,49
scaffold3102,47732,47732,-1,0.0,6
scaffold3102,68113,68113,1,0.0,7
scaffold3102,47530,47530,-1,0.0,23
scaffold3102,47883,47883,1,0.0,13
scaffold3102,47519,47519,-1,0.0,19
scaffold3102,47587,47587,-1,0.0,9
scaffold3102,47791,47791,-1,0.0,6
scaffold3102,19251,19251,-1,0.0,48
scaffold3102,47606,47606,1,0.0,8
scaffold3102,47535,47535,1,0.0,34
scaffold3102,47585,47585,1,0.0,30
scaffold3102,114701,114701,-1,0.0,13
scaffold3102,47801,47801,-1,0.0,6
scaffold3102,69380,69380,-1,0.0,5
scaffold3102,47511,47511,1,0.0,16
scaffold3102,3603,3603,-1,0.0,10
scaffold3102,110462,110462,-1,0.0,44
scaffold3102,110467,110467,1,0.04,25
scaffold3102,47789,47789,1,0.0,7
scaffold3102,47718,47718,-1,0.0,6
